username,password,email,dob,hsgraddate,gpa,state,city,major
ayobobby,starwars1234,ayo@bobby.com,12-31-99,5-20-17,3,CA,San Jose,Computer Science
mildred,marvelfan12,mildred@marvel.com,12-31-00,5-22-18,4,CA,Santa Clara,Biology
randomrandom,password1234,radom@password.com,1-22-01,5-25-19,3.5,NY,Auburn,Painting
arianabig,wassup0000,ariana@big.com,4-22-2003,5-20-2021,3.2,NY,New York,Nursing
champagnepapi,Marvinsroom,champagne@papi.com,7-4-95,5-27-13,2.5,FL,Tampa Bay,Computer Engineering
dontworryaboutit,toess1234,dont@worry.com,8-14-97,6-5-15,2.2,FL,Miami,Mechanical Engineering
eric,ucmerced1234,eric@uc.com,6-1-2000,5-22-2018,3.8,CA,San Diego,Pyschology
johnsno,1234ucmerced,john@sno.com,4-1-00,5-15-18,3.9,CA,Santa Rosa,Computer Science
moldybread,Lexuspass,moldy@lexus.com,10-05-97,4-29-15,3.3,WA,Seattle,Accounting
useruser,theboiuser,user@user.com,11-18-2001,6-12-19,3.4,KY,Fried,Business
JohnCena,Youcantseeme,John@Cena.com,5-12-99,4-29-2017,3.5,VA,San Francisco,Communications
lilDurk,laughnow,lil@Durk.com,9-30-94,5-5-12,2.7,NJ,Suburbs,Writing
Beyonce,totheleft,Beyonce@to.com,4-25-99,5-12-2017,3.9,CA,Los Angeles,English
rock,asap,rock@asap.com,2-15-89,4-15-2007,4,CA,Merced,Computer Science
baa_sheep,floridawomen,baa@florida.com,7-20-00,6-10-2018,4,CA,Turlock,Computer Science
